id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
22545,boardgame,Age of Empires III: The Age of Discovery,2007,2,5,120,90,120,10,7944,7.62416,7.43791,6991,179,536,2076,2322,969,3.1352
24181,boardgame,Imperial,2006,2,6,120,120,120,13,6557,7.66074,7.43674,5588,143,475,1632,1867,899,3.5717
31627,boardgame,Ticket to Ride: Nordic Countries,2007,2,3,60,30,60,8,6147,7.68075,7.4351,8381,78,617,1909,1368,444,2.0045
17392,boardgame,Here I Stand,2006,2,6,360,360,360,12,2612,7.95736,7.41996,3783,78,403,1530,1005,438,4.1142
9209,boardgame,Ticket to Ride,2004,2,5,60,30,60,8,37146,7.50417,7.41694,43747,444,665,3595,8145,3692,1.8876
97207,boardgame,Dungeon Petz,2011,2,4,90,90,90,13,6071,7.6423,7.4125,8161,126,789,2766,1274,417,3.4844
31481,boardgame,Galaxy Trucker,2007,2,4,60,60,60,10,16293,7.5095,7.41212,15786,301,1136,4347,3854,1232,2.3019
41114,boardgame,The Resistance,2009,5,10,30,30,30,13,18472,7.51173,7.40653,26937,551,309,2272,3678,1149,1.624
10630,boardgame,Memoir '44,2004,2,2,60,30,60,8,16400,7.52909,7.40514,19934,503,762,3217,4921,2011,2.2715
54043,boardgame,Jaipur,2009,2,2,30,30,30,12,10447,7.54537,7.39982,14228,118,693,2599,2320,710,1.5704
77130,boardgame,Sid Meier's Civilization: The Board Game,2010,2,4,180,180,180,13,9362,7.57679,7.39051,11977,389,462,2545,1859,871,3.8266
163412,boardgame,Patchwork,2014,2,2,30,15,30,8,3042,7.84324,7.3904,5075,27,467,1461,578,216,1.7593
129437,boardgame,Legendary: A Marvel Deck Building Game,2012,1,5,45,45,45,14,7443,7.6399,7.38437,11033,189,566,2350,1525,513,2.4503
127060,boardgame,Bora Bora,2013,2,4,120,60,120,12,4662,7.66816,7.38139,6679,144,496,1519,1082,424,3.7288
19857,boardgame,Glory to Rome,2005,2,5,60,60,60,12,9499,7.52169,7.378,10980,231,867,2748,2662,830,2.9193
48726,boardgame,Alien Frontiers,2010,2,4,90,90,90,13,9266,7.53118,7.37468,9237,131,1179,3787,2447,691,2.5572
12,boardgame,Ra,1999,2,5,60,45,60,12,13720,7.47502,7.36975,12592,259,678,2399,4081,1613,2.3577
7854,boardgame,YINSH,2003,2,2,30,30,30,9,4471,7.65777,7.36671,5207,71,434,1575,1418,484,2.75
1,boardgame,Die Macher,1986,3,5,240,240,240,14,4215,7.67833,7.36578,4976,180,482,1461,1705,716,4.3506
66589,boardgame,Navegador,2010,2,5,90,60,90,12,5186,7.61184,7.36455,4773,75,586,1639,1194,433,3.0901
36932,boardgame,Claustrophobia,2009,2,2,45,45,45,14,4588,7.68159,7.36259,6352,158,604,2599,1215,392,2.4719
146439,boardgame,BattleLore (Second Edition),2013,2,2,90,90,90,14,1851,8.11344,7.36052,3423,69,460,1584,426,151,2.7748
148949,boardgame,Istanbul,2014,2,5,60,40,60,10,5262,7.6166,7.35895,7096,91,581,1892,996,396,2.5758
15985,boardgame,Blood Bowl: Living Rulebook,2004,2,2,120,120,120,12,2685,7.88086,7.3579,2542,19,55,267,534,243,3.1481
54138,boardgame,Imperial 2030,2009,2,6,120,120,120,12,3279,7.77096,7.35519,3314,57,403,1137,700,270,3.4926
119890,boardgame,Agricola:  All Creatures Big and Small,2012,2,2,30,30,30,13,6131,7.5832,7.35504,10055,134,536,1669,1418,417,2.3525
54998,boardgame,Cyclades,2009,2,5,90,60,90,13,9094,7.53255,7.3545,9493,160,901,3457,1986,683,2.8023
92828,boardgame,Dixit Odyssey,2011,3,12,30,30,30,8,6904,7.56845,7.34889,9285,47,392,1365,1106,313,1.2684
